,City,Country,Latitude,Longitude,Cloudiness,Humidity,Temperature,Wind Speed,Date
0,Qaanaaq,GL,77.48,-69.36,12,100,256.904,3.47,1540176995
1,Georgetown,GY,6.8,-58.16,40,88,299.15,2.1,1540173600
2,Katsuura,JP,33.93,134.5,75,64,293.15,1.0,1540173600
3,Pisco,PE,-13.71,-76.2,0,82,291.15,6.7,1540173600
4,Ordzhonikidze,UA,44.96,35.36,88,100,287.379,3.12,1540176996
5,Hermanus,ZA,-34.42,19.24,0,53,286.329,2.12,1540177113
6,Ushuaia,AR,-54.81,-68.31,20,60,277.15,11.3,1540173600
7,Springfield,US,37.22,-93.29,1,57,282.15,5.7,1540176720
8,Tooele,US,40.53,-112.3,75,54,289.15,2.1,1540174500
9,Jamestown,AU,-33.21,138.6,12,24,301.504,7.72,1540176998
10,Mataura,NZ,-46.19,168.86,0,77,295.254,1.07,1540176998
11,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,20,42,281.15,2.0,1540173600
12,Nioro,GM,13.79,-15.05,0,83,297.329,1.37,1540176998
13,Airai,TL,-8.93,125.41,8,54,302.429,0.57,1540176998
14,Karratha,AU,-20.74,116.85,0,9,312.129,1.82,1540176925
15,Storforshei,NO,66.4,14.52,88,100,273.079,2.12,1540176999
16,Busselton,AU,-33.64,115.35,68,100,289.504,6.47,1540176999
17,Rikitea,PF,-23.12,-134.97,100,100,296.254,3.72,1540176999
18,Ercis,TR,39.03,43.36,75,66,283.15,2.6,1540173000
19,Vaini,IN,15.34,74.49,12,64,298.379,1.92,1540177000
20,Punta Arenas,CL,-53.16,-70.91,20,69,277.15,2.6,1540173600
21,Bluff,AU,-23.58,149.07,0,43,305.504,3.02,1540177000
22,Bubaque,GW,11.28,-15.83,40,94,300.15,2.1,1540173600
23,Ossora,RU,59.24,163.07,88,100,273.979,2.52,1540177000
24,Geraldton,CA,49.72,-86.95,75,92,271.15,1.0,1540173600
25,Kaohsiung,TW,22.62,120.31,75,69,301.15,3.1,1540173600
